judul,label,isi_berita,url
"Jika Presiden 3 Periode, Bamsoet Khawatir Masa Jabatan Presiden Bakal Tanpa Batas",POLITIK,"GELORA.CO - Ketua MPR RI Bambang Soesatyo atau Bamsoet menegaskan bahwa hingga kini tidak ada pembahasan apapun di internal MPR RI untuk memperpanjang masa jabatan Presiden - Wakil Presiden dari dua periode menjadi tiga periode.“Sebagai lembaga yang memiliki kewenangan mengubah dan menetapkan UUD NRI 1945, MPR RI tidak pernah melakukan pembahasan apapun untuk mengubah Pasal 7 UUD NRI 1945,"" ujar Bamsoet kepada wartawan, Senin (15/3/2021).Dikatakan Bamsoet, Presiden Joko Widodo juga sudah sejak jauh hari menegaskan bahwa tidak ada niat dari dirinya pribadi maupun dari unsur kalangan pemerintah untuk memperpanjang masa jabatan Presiden menjadi tiga periode.“Ketentuan masa jabatan kepresidenan diatur dalam Pasal 7 UUD Negara Republik Indonesia Tahun 1945 (UUD NRI 1945), yang menyatakan bahwa Presiden dan Wakil Presiden memegang jabatan selama lima tahun, dan sesudahnya dapat dipilih kembali dalam jabatan yang sama, hanya untuk satu kali masa jabatan,” tegasnya.Dia menuturkan, pemilihan masa jabatan kepresidenan maksimal dua periode sudah dilakukan dengan berbagai pertimbangan yang matang. Selain itu, pembatasan maksimal masa jabatan itu diharapkan bisa memastikan regenerasi kepemimpinan nasional dan menghindari kekhawatiran adanya masa jabatan presiden yang tanpa batas.""Pembatasan maksimal dua periode dilakukan agar Indonesia terhindar dari masa jabatan kepresidenan tanpa batas, sebagaimana pernah terjadi pada masa lalu,” urainya.“Sekaligus memastikan regenerasi kepemimpinan nasional bisa terlaksana dengan baik. Sehingga tongkat estafet kepemimpinan bisa berjalan berkesinambungan. Tidak hanya berhenti di satu orang saja,"" jelas Bamsoet.Tak hanya itu, Bamsoet mengingatkan masyarakat untuk mewaspadai isu perpanjangan masa jabatan kepresidenan menjadi tiga periode. Jangan sampai isu tersebut digoreng menjadi bahan pertikaian dan perpecahan bangsa.""Stabilitas politik yang sudah terjaga dengan baik, yang merupakan kunci kesuksesan pembangunan, jangan sampai terganggu karena adanya propaganda dan agitasi perpanjangan masa jabatan kepresidenan,"" tandasnya. []",https://www.gelora.co/2021/03/jika-presiden-3-periode-bamsoet.html
KPI Tegas Tolak Wacana Masa Jabatan Presiden 3 Periode,POLITIK,"GELORA.CO - Penolakan atas wacana jabatan presiden bisa diperpanjang hingga 3 periode ters mendapar tentangan dari masyarakat.Teranyar Dewan Pendiri Koalisi Peduli Indonesia (KPI), Hilman Firmansyah menegaskan bahwa pihaknya menolak wacana ini. Menurutnya, wacana tersebut bertentangan dengan reformasi yang diperjuangkan mahasiswa dengan darah dan air mata.Dia mengingatkan bahwa reformasi 1998 telah melahirkan amandemen UUD 1945, yang isinya turut menetapkan pembatasan masa jabatan seorang presiden maksimal dua kali.“Pembatasan itu dilakukan untuk menjaga agar demokrasi di indonesia tetap berjalan dan terbebas dari penyalahgunaan kekuasaan,” tegasnya kepada redaksi, Senin (15/3).Reformasi, sambung Hilman, juga bertujuan untuk mengurangi dampak buruk penyalahgunaan kekuasaan seorang presiden dalam waktu lama yang mengarah pada korupsi, kolusi, dan nepotisme (KKN). Termasuk menghindari represif pemimpin yang berkuasa menghadapi suara kritis rakyat yang mengawal demokrasi.Hilman mengingatkan bahwa amendemen UUD tidak bisa dilakukan berlandaskan kepentingan satu kelompok tertentu yang hanya mengamankan kepentingan politik kekuasaan jangka pendek semata.Politisi senior Amin Rais sempat mengungkapkan kekhawatiran bahwa ada dugaan Presiden Joko Widodo akan meminta kepada Majelis Permusyawaratan Rakyat (MPR) untuk menggelar sidang istimewa. Dalam sidang istimewa itulah nanti diduga akan ada usul menciptakan pasal mengenai masa jabatan presiden 3 periode.Awalnya, Amien mengatakan, rezim Jokowi akan berusaha menguasai seluruh lembaga tinggi yang ada.""Kemudian yang lebih penting lagi, yang paling berbahaya adalah ada yang betul-betul luar biasa skenario dan back up politik serta keuangannya itu supaya nanti presiden kita Pak Jokowi bisa mencengkeram semua lembaga tinggi negara,"" ujar Amien Rais.""Terutama DPR, MPR, dan DPD. Tapi juga lembaga tinggi negara lain, kemudian juga bisa melibatkan TNI dan Polri untuk diajak main politik sesuai dengan selera rezim,"" tambahnya seperti dikutip RMOL.Dilanjutkan Amien, setelah lembaga-lembaga negara itu mampu dikendalikan, maka Jokowi akan meminta kepada MPR untuk menggelar sidang istimewa.Nah, salah satu agenda sidang istimewa itu adalah memasukkan pasal masa jabatan presiden hingga 3 periode.Amien Rais mengatakan, saat ini ada semacam opini publik, yang makin jelas menunjukkan ke arah mana hasrat rezim Jokowi. Diawali dengan meminta sidang istimewa MPR, dan kemudian menyatakan ada 1 hingga 2 pasal yang perlu diperbaiki.Kemudian, lanjut Amien, akan ditawarkan pasal baru untuk memberikan hak presiden bisa dipilih tiga kali.""Nah kalau ini betul-betul keinginan mereka, maka saya kira kita bisa segera mengatakan ya innalillahi wa inna ilaihi rajiun,"" pungkas Amien Rais.(RMOL)",https://www.gelora.co/2021/03/kpi-tegas-tolak-wacana-masa-jabatan.html
"Obama Ingin Punya Grup Chat dengan Tokoh Dunia, Siapa saja yang Di-invite?",GLOBAL,"GELORA.CO - Mantan Presiden Amerika Serikat (AS) Barack Obama mengungkapkan keinginannya untuk memiliki ruang obrolan berupa grup chat dengan para tokoh dunia. Obama berharap ada sarana untuk berkomunikasi dengan orang-orang luar biasa yang dikaguminya.Nama-nama mereka di antaranya pemimpin spiritual Buddha Tibet yakni Dalai Lama, Paus Fransiskus, Ratu Elizabeth II, Kanselir Jerman Angela Merkel, dan mantan Perdana Menteri India Manmohan Singh.“Dalai Lama, saya menyukai orang itu, begitupun Paus Fransiskus, dia orang yang benar-benar baik. Saya tampaknya juga akan memasukkan Ratu Elizabeth II, karena selera humornya yang unik dibanding orang kebanyakan,"" kata Obama dalam wawancaranya dengan Skimm dikutip dari Business Insider, Sabtu (13/3/2021).Obama bertemu dengan Dalai Lama beberapa kali selama dan setelah masa kepresidenannya. Obama menyambutnya di Gedung Putih pada 2015, dan kembali bertemu pada 2016 saat menyampaikan keberatan pada pemerintah Cina. Saat ini Dalai Lama tinggal di pengasingan di India.Sedangkan dalam pertemuannya dengan Paus Fransiskus, Obama menjamu pemimpin gereja Katolik tersebut di Gedung Putih pada 2015. Saat kunjungannya ke Washington, Paus Fransiskus menyampaikan pidato langka pada sesi gabungan Kongres AS.Pada tahun 2009, Obama menghadiahkan Ratu Elizabeth II sebuah iPod yang berisi rekaman video sejarah dari kunjungan Ratu ke AS pada 1950-an, serta rekaman pidato pelantikan Obama pada 2009 dan pidatonya pada 2008 di Konvensi Nasional Partai Demokrat.Selain itu, mantan orang nomor satu di AS itu punya hubungan yang erat dengan Angela Merkel, mereka sering berbagi pendekatan mengenai berbagai masalah. Selama masa kepresidenan Obama, AS dan Jerman bekerja sama dalam berbagai masalah global yang penting, termasuk menanggapi aneksasi Krimea oleh Rusia hingga perihal ISIS dan krisis keuangan global. []",https://www.gelora.co/2021/03/obama-ingin-punya-grup-chat-dengan.html
"Gibran Didukung Jadi Ketum KNPI, Rocky Gerung Usulkan Ahok atau Bintang Emon",POLITIK,"GELORA.CO - Wali Kota Solo Gibran Rakabuming Raka didukung untuk menjadi Ketua Umum (Ketum) Komite Nasional Pemuda Indonesia (KNPI) Periode 2021-2024. Dukungan itu mencuat dari DPD KNPI DKI Jakarta.Dukungan atas putra Presiden Jokowi tersebut ikut dikomentari oleh pengamat politik Rocky Gerung yang menyebut nama Komisaris Utama Pertamina Basuki Tjahaja Purnama alias Ahok dan komika Bintang Emon.Hal itu disampaikan oleh Rocky Gerung dalam video berjudul ""Pilih Gibran atau Bintang Emon Jadi Ketua KNPI"" yang disiarkan lewat saluran YouTube miliknya, Senin (15/3/2021).Rocky Gerung menimpali Hersubeno Arief yang mengungkit pernyataan Direktur Eksekutif Indo Barometer M Qodari.Perlu diketahui, Qodari menyebut Gibran bisa menjadi sosok pemersatu di dalam tubuh KNPI. Hal itu diduga menjadi justifikasi mengapa putra Presiden Jokowi itu menjadi dinilai layak.Menyoroti hal itu, Rocky Gerung menyinggung sosok Ahok dan Bintang Emon yang menurutnya juga punya kualitas.Kata dia, Qodari sebagai seorang surveyor seharusnya melakukan pengujian siapa yang lebih berguna antara Gibran atau Bintang Emon.""Mestinya disurvei oleh Qodari siapa yang lebih berguna, Gibran atau Bintang Emon. Karena menyebutkan 1 orang, mestinya ada perbandingan. Dia punya potensi iya, Bintang Emon juga punya potensi,"" kata Rocky Gerung.""Disandingkan aja. Kan surveyor selalu minimal ada 2 variabel konstansta dan variabel. Kalau Gibran adalah konstatsa, maka variabelnya mesti dicarikan,"" tambahnya.Rocky Gerung kemudian menyebutkan bahwa dia mengusulkan nama Bintang Emon atau Ahok karena keduanya dinilai cukup potensial.""Saya usulin Bintang Emon, atau Ahok misal. Jadi ahok bertanding lagi sama Gibran di DKI buat KNPI. Ahok juga potensial jadi ketua KNPI. Kita sebutin nama-nama yang terlintas di kepala kendati nagco supaya kita tahu tugasnya survei adalah memelihara suasana supaya terlihat ada kompetisi fair,"" tukasnya.Sebelumnya, nama Gibran untuk maju sebagai ketum KNPI dilontarkan oleh DPD KNPI DKI Jakarta. Bahkan diduga akan ada penggerak untuk menggalang kekuatan pemilik suara dalam kongres menyukseskan Gibran.Terkait hal itu, Gibran masih belum memberikan jawaban pasti apakah akan bersedia atau tidak dicalonkan menjadi ketum KNPI dalam kongres mendatang.""Ya, nanti bisa dibicarakan dulu,"" terang Gibran, saat ditemui Jumat (12/3/2021).Saat ini, Gibran ingin fokus untuk yang di Solo dulu. Karena di Solo masih banyak pekerjaan rumah (PR) yang harus diselesaikan.""Yang jelas saya ingin fokus yang ada di Solo dulu saja. Karena PRnya masih banyak,"" ungkapnya.Perlu diketahui, Kongres KNPI akan digelar pada tahun 2021 ini. Pada kongres KNPI kali ini untuk menyatukan tiga kubu yang sepakat melakukan islah.[]",https://www.gelora.co/2021/03/gibran-didukung-jadi-ketum-knpi-rocky.html
"Kalau Kalah Lawan AHY, Moeldoko Cs Diperkirakan Bikin Partai Baru",POLITIK,"GELORA.CO - Pakar Komunikasi Politik Emrus Sihombing menyebut Moeldoko Cs berpotensi mendirikan partai baru jika kalah dalam perseteruan dengan kubu Partai Demokrat versi Agus Harimurti Yudhoyono. Salah satu kuncinya yakni soliditas dengan seluruh elemen KLB.Dia menyebut perseteruan antar dua kubu Partai Demokrat semakin maju dan sudah saling buka kelemahan antar para pihak di ruang publik. Kubu Moeldoko mencari pengakuan legal formal sedangkan versi AHY memilih eksistensi demokrat terus terjaga secara dejure maupun defakto.Jika ingin menang, kubu Moeldoko harus mendapat legal fomal Kemenkumham dan melakukan konsolidasi keseluruh Indonesia secara masif dan cepat. Namun, jika nantinya Moeldoko dalam kelompok KLB dinyatakan kalah diperkirakan membentuk partai baru.""Jika KLB tidak memperoleh legal formal, bisa jadi kelompok ini (Moeldoko) mendirikan partai baru, sepanjang mereka semua solid,"" kata Ermus, Senin (15/3/2021).Namun, jika Moeldoko bersama kubu KLB tak dapat solid akan menghasilkan masalah baru salah satunya elite dalam kelompok tersebut akan hilang.""Dari aspek komunikasi politik, karir politik mereka akan sulit muncul ke permukaan,"" tuturnya. []",https://www.gelora.co/2021/03/kalau-kalah-lawan-ahy-moeldoko-cs.html
"PKS soal Isu Pasal Presiden 3 Periode: Hati-hati Jokowi, Ada yang Cari Muka",POLITIK,"GELORA.CO - Politikus senior Amien Rais melontarkan dugaan Presiden Joko Widodo (Jokowi) akan mengusulkan masa jabatan presiden jadi 3 periode. Ketua DPP PKS Mardani Ali Sera memberi sejumlah catatan.""Wajar sebagian pihak berpendapat ada peluangnya karena perimbangan oposisi dengan koalisi sangat jomplang, apalagi ada gerakan demokrat mau dikooptasi atau sudah dikooptasi, syaratnya 75 persen hitung-hitungannya bisa 83 persen karena itu masyarakat wajib sama-sama menjaga,"" kata Mardani dalam keterangannya, Senin (15/3/2021).Mardani meminta semua pihak menolak wacana presiden 3 periode. Mardani menilai wacana itu bertentangan dengan demokrasi.""Terkait presiden tiga periode yang pertama ini berbahaya masyarakat dan kita semua wajib menjaga agar tidak ada gerakan ide gagasan presiden tiga periode. Karena ini bertentangan dengan reformasi dan dapat membuat demokrasi kita mati,"" kata Mardani.Mardani mengatakan Jokowi pun sudah menolak secara terbuka adanya wacana itu pada 2019. Meski begitu, Mardani meminta Jokowi tetap harus berhati-hati terhadap pihak yang akan menjerumuskan.""Pak Jokowi di 2019 sudah menyatakan tidak mungkin. Tetap hati-hati, Pak Jokowi, terhadap para orang-orang yang ini ngambil muka atau menjerumuskan Pak Jokowi. Ayo jaga konstitusi kita periode 2 saja untuk presiden,"" tuturnya.Baca juga:Mereka Menepis Kala Isu Presiden 3 Periode Diembuskan Amien RaisSebelumnya, Amien Rais melontarkan dugaannya itu melalui YouTube Channel Amien Rais Official yang diunggah pukul 20.00 WIB, Sabtu (13/3/2021). Mulanya, Amien mengatakan rezim Jokowi ingin menguasai seluruh lembaga tinggi yang ada di Indonesia.""Kemudian yang lebih penting lagi, yang paling berbahaya adalah ada yang betul-betul luar biasa skenario dan back-up politik serta keuangannya itu supaya nanti presiden kita, Pak Jokowi, bisa mencengkeram semua lembaga tinggi negara, terutama DPR, MPR, dan DPD. Tapi juga lembaga tinggi negara lain, kemudian juga bisa melibatkan TNI dan Polri untuk diajak main politik sesuai dengan selera rezim,"" ujar Amien.Amien kemudian menyebut, setelah lembaga negara itu bisa dikuasai, Jokowi akan meminta MPR menggelar sidang istimewa. Salah satu agenda sidang istimewa itu adalah memasukkan pasal masa jabatan presiden hingga tiga periode.""Jadi sekarang ada semacam publik opini, yang mula-mula samar-samar tapi sekarang makin jelas ke arah mana rezim Jokowi. Jadi mereka akan mengambil langkah pertama meminta sidang istimewa MPR, yang mungkin satu, dua pasal yang katanya perlu diperbaiki yang mana saya juga tidak tahu, tapi kemudian nanti akan ditawarkan baru yang kemudian memberikan hak presidennya itu bisa dipilih tiga kali, nah kalau ini betul-betul keinginan mereka, maka saya kira kita bisa segera mengatakan ya innalillahi wa inna ilaihi rajiun,"" ucapnya.""Jadi semua sudah ada tahapan, it's now or never tomorrow will be to late,"" tambah Amien. []",https://www.gelora.co/2021/03/pks-soal-isu-pasal-presiden-3-periode.html
Eks Wakapolri Syafruddin Bantah Keras Ditawari Waketum PD Kubu Moeldoko,POLITIK,"GELORA.CO - Eks Wakapolri Komjen (Purn) Syafruddin membantah keras tudingan Partai Demokrat (PD) yang menyebutkan dirinya pernah ditawari menjadi wakil ketua umum kubu KLB Deli Serdang. Syafruddin menyebut tidak pernah berkomunikasi dengan kubu Moeldoko.""Saya membantah pernah diajak gabung oleh Moeldoko,"" kata Syafruddin saat dimintai konfirmasi, Senin (15/3/2021).Syafruddin juga menegaskan tidak pernah melakukan komunikasi dengan Marzuki Alie terkait politik, khususnya soal isu rencana bergabung dengan PD kubu Moeldoko.""Saya membantah keras pernah diajak gabung oleh Moeldoko dan Marzuki Ali bergabung dalam kepengurusan Partai Demokrat hasil KLB Deli Serdang,"" tegas dia.Isu Syafruddin diajak masuk PD versi Moeldoko diembuskan oleh Deputi Balitbang Demokrat Syahrial Nasution. Syahrial menyebut ajakan itu disampaikan lewat Marzuki Alie. Dia mengatakan kubu KLB Deli Serdang mencoba merekrut orang dekat JK.""Mantan Wakapolri Komjen (Purn) Syafruddin dihubungi oleh Marzuki Alie dan Darmizal. Diminta jadi waketum PD versi KLB abal-abal. Dia menolak,"" kata Syahrial Nasution.""Sampai akhirnya, Moeldoko menghubungi langsung, juga ditolak,"" ucap Syahrial.Syahrial menyebut informasi soal Moeldoko menghubungi eks Wakapolri Komjen (Purn) Syafruddin ini didapatnya langsung dari orang tepercaya. Syahrial menyebut penolakan dari tokoh sekelas Komjen (Purn) Syafruddin menandakan KLB di Deli Serdang merupakan kudeta terhadap Partai Demokrat.""Artinya, ini kudeta. Karena, kegiatannya dilaksanakan dulu. Tidak didaftarkan, karena memang susunan kepengurusannya belum ada. Legalitasnya nggak benar. Menggunakan tangan kekuasaan untuk mempengaruhi DPC-DPC dan DPD-DPD pemilik hak suara,"" sebut Syahrial. []",https://www.gelora.co/2021/03/eks-wakapolri-syafruddin-bantah-keras.html
"Kasasi Jaksa Ditolak, Fahri Pengancam 'Bunuh Jokowi' Tetap Dibui 255 Hari",HUKUM,"GELORA.CO - Mahkamah Agung (MA) menolak kasasi jaksa terhadap Mohammad Fahri Al Habsyi alias Fahri bin Abdurahman. Alhasil, Fahri tetap dihukum 255 hari penjara karena teriakan 'bunuh Jokowi' pada 2019 lalu.Kasus bermula saat viral video Fahri tersebar luas di media sosial. Dalam video itu, Fahri bersama seorang pria tengah berjalan pada Rabu, 22 Mei 2019 malam. Dalam video itu, Fahri mengancam akan membunuh Jokowi dan Wiranto.""Hei, Jokowi, ketemu kau sama saya, saya bunuh kau. Jokowi dan antek-anteknya Wiranto, jahanam kau, bangsat kau, pengkhianat kau,"" tutur Fahri dalam video tersebut.Akhirnya Fahri ditangkap pada 1 Juni 2019 di rumah keluarganya di Palu, Sulawesi Tengah. Fahri ditangkap tanpa perlawanan. Setelah diproses di penyidik, Fahri diadili di PN Jakpus. Jaksa menuntut Fahri dihukum 2 tahun penjara dengan denda Rp 50 juta subsidair 3 bulan kurungan.Pada 4 Februari 2020, PN Jakpus menyatakan Fahri telah terbukti secara sah dan meyakinkan bersalah turut serta melakukan perbuatan membuat dapat diaksesnya informasi elektronik dan/atau dokumen elektronik yang memiliki muatan ancaman. Oleh sebab itu, Fahri dijatuhi hukuman penjara selama 8 bulan dan 15 hari atau total 255 hari.Atas putusan itu, jaksa tidak terima dan mengajukan banding. Tapi Pengadilan Tinggi (PT) Jakarta menguatkan putusan PN Jakpus pada 6 April 2020. Duduk sebagai ketua majelis Nur Hakim dengan anggota Sugeng Hiyanto dan Muhammad Yusuf.Jaksa masih dengan tuntutannya agar Fahri dihukum 2 tahun penjara. Maka kasasi pun ditempuh jaksa. Apa kata MA?""Tolak,"" demikian lansir website MA sebagaimana dikutip detikcom, Senin (15/3/2021).Duduk sebagai ketua majelis Andi Abu Ayyub Saleh dengan anggota Hidayat Manao dan Soesilo. Putusan itu diketok pada 25 Februari 2021 dengan panitera pengganti Emmy Evalina Marpaung.(dtk)",https://www.gelora.co/2021/03/kasasi-jaksa-ditolak-fahri-pengancam.html
"Amien Rais Curiga Wacana 3 Periode Berujung Sidang Istimewa MPR, Pengamat: Pegiat Demokrasi Mulai Khawatir",POLITIK,"GELORA.CO - Isu masa jabatan Presiden tiga periode mengundang rasa curiga dari tokoh reformasi Amien Rais, yang menduga ini akan berujung pada usulan Presiden Joko Widodo kepada MPR untuk menggelar sidang istimewa.Direktur Eksekutif Parameter Politik, Adi Prayitno menangkap komentar pendiri Partai Ummat tersebut sebagai sikap khawatir para pegiat demokrasi.""Pegiat Demokrasi khawatir dengan wacana presiden tiga periode ini. Karena menyalahi khitah, perjuangan reformasi 98,"" ujar Adi Prayitno saat dihubungi Kantor Berita Politik RMOL, Senin (15/3).Salah satu semangat yang ingin dipertahankan para pejuang reformasi seperti Amien Rais ini, menurut Adi Prayitno adalah mengamputasi kewenangan atau jabatan Presiden yang tidak terbatas.""Jadi saya kira kalau masih merasa aktivis menjadikan demokrasi sebagai sistem politik yang penting, maka dua periode menjadi opsi yang paling baik,"" kata Dosen Politik Universitas Islam Negeri (UIN) Syarif Hidayatullah Jakarta ini.""Dua periode itu cukup ideal dalam sistem demokrasi kita yang multipartai, sehingga regenerasi kepemimpinan atau elit presiden itu bisa berjalan normal lah,"" demikia Adi Prayitno menambahkan. (RMOL)",https://www.gelora.co/2021/03/amien-rais-curiga-wacana-3-periode.html
"Darmizal Bantah Dekati Syafruddin, Demokrat: Jangan Kemudian Betul Lagi",POLITIK,"GELORA.CO - Bantahan dari penggagas perkumpulan yang diklaim sebagai Kongres Luar Biasa (KLB) di Deliserdang, Darmizal ihwal pihaknya meminta mantan Wakapolri Komjen Syafruddin untuk menjadi wakil ketua umum mendampingi Kepala Kantor Staf Presiden (KSP) Moeldoko direspons santai oleh DPP Partai Demokrat.Deputi Balitbang Demokrat Syahrial Nasution mengatakan, bantahan dari Darmizal dkk itu tidak jauh berbeda dengan bantahan Moeldoko saat awal-awal ingin 'membegal' Partai Demokrat. Namun, pada akhirnya semua bantahan Moeldoko itu terbukti bohong.   ""Jangan membantah tapi kemudian ternyata betul,"" ujar Syahrial kepada Kantor Berita Politik RMOL sesaat lalu di Jakarta, Senin (15/3).""Dulu juga Moeldoko bilang kumpul-kumpul, ngopi-ngopi, nggak ada bicara-bicara soal kudeta Demokrat. Ternyata, bohong. Terjadi KLB abal-abal dan Moeldoko menerima jadi ketum KLB abal-abal,"" imbuhnya menegaskan.Syahrial justru merasa heran pasca KLB abal-abal di Sibolangit, Deli Serdang, Sumatera Utara pada Jumat (5/3) silam menetapkan Moeldoko sebagai Ketua Umum, suaranya nyaris tak lagi terdengar.""Coba Pak Moeldoko keluar dari persembunyian. Jangan berlindung terus di balik bayang-bayang Jhoni Allen Marbun CS,"" tegasnya.""Kalau memang Pak Moeldoko sudah merasa tertipu dengan KLB abal-abal tersebut, ya kesatria aja,"" demikian Syahrial.Darmizal membantah bahwa pihaknya telah mendekati eks Wakapolri Komjen (Purn) Syafruddin untuk dijadikan sebagai wakil ketua umum KLB mendampingi Moeldoko.""Saya pastikan berita tersebut salah,"" kata Darmizal, Senin (15/3).(RMOL)",https://www.gelora.co/2021/03/darmizal-bantah-dekati-syafruddin.html
